reeig,coshP,expT,
5.878681670048576668e-01,6.227274590583942171e-01,6.260376314333149228e-01
6.317805622184321512e-01,6.401061379249424199e-01,6.331446587889948407e-01
5.688649222065064182e-01,5.721833859210097017e-01,6.314669241649439879e-01
5.955302150603349887e-01,5.821916529155717335e-01,6.268954441433916003e-01
5.701417230865346575e-01,6.603492825565839830e-01,6.416568766594911155e-01
6.048494537703170693e-01,6.309362766197299521e-01,6.206265756625468644e-01
6.302092180991663017e-01,6.246661955465560023e-01,6.045410995671584020e-01
5.572230986834947331e-01,6.137865847024261967e-01,5.658660646284408013e-01
6.462734532564630152e-01,6.454280155642022621e-01,6.329281004475048045e-01
5.771251672223769447e-01,5.722010199716146550e-01,6.678785337398732702e-01
5.912142081206829269e-01,6.583502428826170094e-01,5.744276373772776445e-01
5.849035449523330987e-01,6.527601296486305049e-01,6.685992783708303300e-01
5.858448482210858455e-01,5.875108802088999660e-01,6.089788923947339061e-01
5.841244457120351452e-01,5.643220200867846703e-01,6.848325422209546876e-01
5.970857468813450808e-01,5.980262666458416865e-01,6.414081652055222404e-01
5.900510360942015087e-01,5.575795773637499675e-01,6.402980179958597251e-01
5.867534841370687371e-01,6.460025005605876114e-01,6.329000387315091292e-01
5.541426395386791492e-01,6.159082254379284471e-01,6.455975954738331080e-01
6.158767426541990053e-01,6.562387529624272853e-01,6.665614113716462619e-01
5.683345330336346812e-01,6.629017581268377146e-01,6.470020508084395328e-01
6.277132140441492592e-01,6.094816454528684257e-01,6.453811309926418271e-01
6.270478436062432159e-01,6.235399240318821867e-01,6.209816059306774161e-01
5.492193450114242204e-01,6.222323468610597708e-01,6.386614623000761437e-01
6.123727599296486801e-01,6.629207665301742880e-01,6.465764866461588545e-01
6.269684705179310313e-01,6.364407268825674757e-01,6.712620281273131706e-01
