reeig, coshP, expT
7.637566137566137447e-01,7.854497354497353978e-01,7.775132275132274895e-01
7.847883597883598128e-01,7.435185185185184675e-01,7.828042328042328357e-01
7.278311965811965489e-01,7.727029914529914834e-01,7.743055555555555802e-01
7.819865319865320075e-01,7.957351290684624434e-01,7.864758698092031430e-01
7.193287037037037202e-01,7.540509259259258190e-01,7.407407407407406996e-01
7.662698412698413231e-01,7.822751322751322345e-01,7.722222222222222543e-01
7.548941798941799508e-01,7.607142857142856762e-01,7.720899470899471595e-01
7.686965811965811302e-01,7.569444444444444198e-01,7.820512820512820484e-01
7.605218855218854879e-01,7.835297418630751132e-01,7.602413019079685697e-01
7.465277777777777901e-01,7.332175925925925597e-01,7.442129629629630205e-01
7.600529100529100912e-01,7.796296296296296724e-01,7.880952380952381819e-01
7.604497354497354866e-01,7.719576719576719537e-01,7.603174603174602808e-01
7.787126068376069021e-01,7.665598290598290010e-01,7.760416666666667407e-01
7.853535353535353591e-01,7.821268237934904111e-01,7.860549943883277102e-01
7.546296296296296502e-01,7.488425925925925597e-01,7.771990740740740700e-01
7.588624338624339050e-01,7.842592592592592116e-01,7.650793650793650258e-01
7.728835978835979503e-01,7.429894179894179773e-01,7.730158730158730451e-01
7.632211538461538547e-01,7.740384615384614531e-01,7.771100427350428053e-01
7.535072951739618663e-01,7.732884399551066545e-01,7.807239057239057090e-01
7.447916666666667407e-01,7.633101851851852304e-01,7.320601851851851194e-01
7.473544973544973269e-01,7.607142857142856762e-01,7.746031746031745158e-01
7.833333333333333259e-01,7.578042328042327025e-01,7.558201058201057254e-01
7.598824786324785974e-01,7.590811965811965489e-01,7.649572649572649041e-01
7.467732884399551629e-01,7.794612794612794104e-01,7.724466891133557889e-01
7.569444444444444198e-01,7.604166666666667407e-01,7.673611111111111605e-01
